# ID	X	Y	width	height	angle	
363	4053.79	1442.82	29.6152	30.6404	76.2072
364	4051.52	1168.41	19.1066	19.5022	103.429
365	4043.99	883.895	28.8709	30.7546	88.6757
367	4028.28	337.518	18.5609	19.8042	115.687
400	571.431	2399.84	33.1945	34.7015	73.0574
401	556.689	1963.4	23.0333	23.9532	74.6076
402	551.898	1546.63	33.9265	34.6226	68.7033
403	552.482	1129.46	25.2785	26.8313	82.1811
404	551.536	718.501	35.1352	36.8467	92.2798
405	579.514	311.445	22.9547	24.449	91.0073
406	582.087	27.4242	25.3918	27.1983	90.5783
410	992.282	2388.25	33.561	34.8195	78.1424
411	968.834	1958.51	23.3738	24.4464	70.0231
412	970.38	1546.05	33.9532	34.6416	94.289
413	965.237	1137.15	23.9618	24.5804	82.9117
414	973.029	727.111	33.3946	34.1512	103.953
415	993.301	327.448	23.1274	24.5914	98.692
416	980.873	59.2992	27.3981	28.8011	107.187
420	1387.73	2374.89	33.4442	34.7005	68.6933
421	1371.87	1951.84	23.5908	24.1733	55.1615
422	1369.79	1545.81	34.602	35.3594	92.694
423	1364.88	1140.48	23.334	24.0788	93.7664
424	1367.05	737.126	30.6216	33.035	179.493
425	1383.52	342.762	23.5063	24.9529	118.719
426	1388.19	69.8878	23.6916	25.4347	100.319
430	1762.82	2361.35	33.8846	35.2365	51.8966
431	1761.08	1951.41	23.959	24.5453	40.2147
432	1763.58	1547.59	34.4419	34.7388	40.7332
433	1769.59	1144.82	23.0237	23.5539	159.977
434	1770.85	747.584	31.7672	32.8521	158.534
435	1779.18	360.525	23.3548	25.2428	136.754
436	1784.62	92.4769	22.8362	24.9936	109.58
452	2570.98	1541.22	32.6663	34.4456	0.849231
453	2577.87	1157.84	22.1835	23.047	166.618
454	2577.99	778.931	29.7513	32.0028	162.573
455	2575.27	406.751	21.3582	22.8923	131.609
456	2564.02	151.333	20.5136	23.5812	131.133
471	3287.13	1905.48	16.4226	19.4093	7.47042
472	3287.11	1538.98	29.9677	32.2582	0.869609
473	3272.91	1173.31	20.1244	21.8114	179.014
474	3263.21	811.023	28.9856	31.7648	168.338
475	3250.41	455.184	17.3929	20.3225	151.663
476	3255.7	205.557	17.6503	22.0539	143.961
481	3597.61	1894.66	19.6751	21.5448	174.272
483	3583.73	1180.13	18.8477	20.4361	169.77
485	3581.66	479.335	19.0481	20.8948	154.865
486	3588.55	243.36	17.628	22.0789	148.929
492	3904.47	1535.09	26.7666	30.492	179.991
493	3897.17	1188.87	16.7143	19.7185	172.381
494	3874.67	842.745	24.9564	29.1506	164.833
495	3860.04	501.054	17.7098	20.6701	152.761
496	3875.65	262.227	16.0435	20.37	155.894
500	4197.03	2225.14	23.5117	27.7192	7.0445
501	4192.71	1874.13	16.7012	19.3683	5.63673
502	4192.76	1534.93	25.9013	30.1903	2.19364
503	4186.63	1195.44	16.6118	19.1212	170.184
504	4179.65	859.89	24.6172	28.5409	166.959
505	4174.09	527.419	17.2909	19.9462	158.812
506	4193.6	298.617	37.477	45.5982	163.64
